PUBCHEM_SUBSTANCE_ID,smiles
164168244,CN(C)c1ccc(C(O)(c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)cc1
16975381,Cc1ccc(Cn2c(=N)c(C(=O)NCc3cccnc3)cc3c(=O)n4ccccc4nc32)cc1
160654523,COc1ccccc1CN1COc2ccc3c(-c4ccccc4)cc(=O)oc3c2C1
17130371,CCOC(=O)C1=C(C)N=c2s/c(=C/c3ccc(N(C)C)cc3)c(=O)n2C1c1cccc(OC)c1OCC
17130266,C=CCOc1ccc(/C=c2/sc3n(c2=O)C(c2cccc(OC)c2OCC)C(C(=O)OCC)=C(C)N=3)cc1
17129109,C#CCOc1ccc(/C=c2\sc3n(c2=O)C(c2ccc(F)cc2)C(C(=O)OCC)=C(c2ccccc2)N=3)cc1
17129089,C#CCOc1ccc(/C=c2\sc3n(c2=O)C(c2ccc(F)cc2)C(C(=O)OCC)=C(c2ccccc2)N=3)cc1OCC
17129054,C#CCOc1ccccc1/C=c1\sc2n(c1=O)C(c1ccc(F)cc1)C(C(=O)OCC)=C(c1ccccc1)N=2
17129048,C#CCOc1ccc(/C=c2\sc3n(c2=O)C(c2ccc(F)cc2)C(C(=O)OCC)=C(c2ccccc2)N=3)cc1OC
17126865,CCOC(=O)C1=C(c2ccccc2)N=c2s/c(=C\c3cc([N+](=O)[O-])ccc3O)c(=O)n2C1c1cccc(OC)c1
17032403,Cc1cc(=O)oc2c1ccc1oc(C(=O)c3ccccc3)c(C)c12
17126285,CCOC(=O)C1=C(C)N=c2s/c(=C/c3cc(C)n(-c4cccc(C(=O)OC)c4)c3C)c(=O)n2C1c1ccc(OC)cc1
17126047,CCOC(=O)C1=C(C)N=c2s/c(=C/c3cc(C)n(-c4cccc(C(=O)OC)c4)c3C)c(=O)n2C1c1ccc(OCC)cc1
17110446,C=CCOc1ccc(C2C(C(=O)OCC)=C(C)N=c3s/c(=C\c4ccc(OC)c(OC)c4)c(=O)n32)cc1
